scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
365427,1,69504.0,Marketing Executive,Junior Executive,2.0,SGD,2000.0,2800.0
365490,1,71678.0,Marketing Executive,Non-Executive,2.0,SGD,2000.0,3500.0
371035,1,1509.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
371154,1,24572.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
392211,1,12958.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,2800.0
392267,1,16298.0,Marketing Executive,Junior Executive,2.0,SGD,2700.0,3000.0
392369,1,82911.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3200.0
392452,1,74453.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3000.0
393082,1,108209.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
395872,1,108726.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3000.0
395923,1,98971.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
400876,1,20943.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3200.0
401229,1,819.0,Marketing Executive,Entry Level,1.0,SGD,2500.0,3500.0
404964,1,162.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
407816,1,109175.0,Marketing Executive,Senior Executive,2.0,SGD,2500.0,3500.0
407901,1,2071.0,Marketing Executive,Junior Executive,1.0,SGD,2900.0,4000.0
410747,1,83624.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
410871,1,1792.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,4000.0
410922,1,2155.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3500.0
411091,1,67174.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
411094,1,110542.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
413279,1,1405.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,3500.0
413682,1,29141.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
414007,1,24984.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
419892,1,26393.0,Marketing Executive,Junior Executive,3.0,SGD,2000.0,3500.0
427747,1,61325.0,Marketing Executive,Senior Executive,3.0,SGD,3000.0,3500.0
427851,1,24815.0,Marketing Executive,Junior Executive,2.0,SGD,4000.0,4800.0
428049,1,12441.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
431608,1,94329.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3500.0
431668,1,117.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
431783,1,61499.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
439468,1,115050.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3000.0
439495,1,115054.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
441217,1,17018.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
443127,1,38840.0,Marketing Executive,Entry Level,1.0,SGD,3000.0,4000.0
445208,1,115746.0,Marketing Executive,Entry Level,2.0,SGD,2000.0,3500.0
445237,1,15001.0,Marketing Executive,Entry Level,1.0,SGD,2000.0,2500.0
448143,1,51738.0,Marketing Executive,Junior Executive,3.0,SGD,3000.0,3500.0
448437,1,24850.0,Marketing Executive,Senior Executive,3.0,SGD,3000.0,4500.0
448459,1,1060.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
448534,1,110542.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
448931,1,13582.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
450531,1,94261.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
450682,1,18814.0,Marketing Executive,Junior Executive,2.0,SGD,2700.0,3500.0
