scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
558623,4,39205.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
584112,4,18602.0,Marketing Executive,Staff (non-management & non-supervisor),5.0,IDR,4500000.0,6010000.0
589914,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
596518,4,143274.0,Marketing Executive,Supervisor/Coordinator,5.0,IDR,4500000.0,6010000.0
599916,4,143581.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
611004,4,120830.0,Marketing Executive,Supervisor/Coordinator,5.0,IDR,4500000.0,6010000.0
615433,4,145565.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,3000000.0,4200000.0
619236,4,146070.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
621302,4,38266.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
628457,4,144009.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
635234,4,9919.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
638415,4,148129.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,5000000.0,7000000.0
645549,4,148894.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
650255,4,64080.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
662612,4,150723.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
665456,4,151104.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
674211,4,145117.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,6010000.0
674363,4,10085.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
709801,4,10122.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
712593,4,38266.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
725279,4,9783.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,8000000.0,12000000.0
729960,4,160581.0,Marketing Executive,Less than 1 year experience,2.0,IDR,3800000.0,4200000.0
737866,4,9409.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
742787,4,148129.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,5000000.0,7000000.0
